Case_ID,Product,Folder,Language,Ground_Truth,GT_Support_Status,Strongest_Mechanism,Multiple_Defects_Coexist,Match_Rate_Pct,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Col_dx_Std,Mis_Direction_Coherence,Mis_Has_Evidence,Ov_Max_Intersection_Area_px2,Ov_Total_Intersection_Area_px2,Ov_Horizontal_Intrusion_px,Ov_Vertical_Intrusion_px,Ov_Gap_Collapse_px,Ov_Has_Evidence,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Clipping_Elements_Count,Tr_Container_Accommodated,Tr_Has_Evidence,Un_Genuine_Untrans_Strings,Un_Latin_Words_Preserved,Un_English_Chars_Preserved,Un_Tech_Brand_Tokens,Un_Has_Evidence,HK_Conflict_Count,HK_Has_Evidence
32,Civil3d,Civil3d-29,FRA,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,93.0,52.0,52.04,43.0,0.132,False,1898,3784,146,13,136,True,0,0,0,0,False,3,3,73,2,True,0,False
33,Civil3d,Civil3d-30,CHT,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,100.0,233.0,232.36,91.38,0.208,True,1404,5252,78,18,225,True,0,0,0,0,False,0,0,0,0,False,0,False
34,Inventor,Inventor-07,PTB,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,100.0,1.0,2.0,0.5,1.0,False,1036,1624,74,21,199,True,0,0,0,0,False,3,3,18,0,True,0,False
35,Inventor,Inventor-08,JPN,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,100.0,307.0,309.07,134.25,0.082,True,1957,6570,103,19,201,True,1,0,0,2,True,0,0,0,1,False,0,False
36,Inventor,Inventor-33,ITA,Overlapping,PARTIALLY_SUPPORTED,TEXT_TRUNCATION_CLIPPING,True,97.6,2.0,2.83,1.0,1.0,False,0,0,0,0,96,False,1,0,0,10,True,3,3,37,2,True,0,False
37,Inventor,Inventor-34,KOR,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,95.3,2.0,138.29,65.05,0.096,False,416,780,26,16,138,True,9,0,0,0,True,12,12,36,30,True,0,False
38,Inventor,Inventor-39,ESP,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,99.1,142.0,142.0,44.71,-0.001,True,54918,92910,339,162,204,True,0,0,0,0,False,0,0,0,1,False,0,False
39,Vault,Vault-04,HUN,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,False,97.1,138.0,205.3,44.86,0.549,False,18538,21651,66,299,138,True,0,0,0,0,False,0,0,0,5,False,0,False
40,Vault,Vault-05,ITA,Overlapping,UNSUPPORTED,NO_STRONG_OBSERVABLE_DEFECT,False,87.5,0.0,0.0,0.0,1.0,False,0,0,0,0,2,False,0,0,0,1,False,0,0,0,0,False,0,False
41,Vault,Vault-06,JPN,Overlapping,UNSUPPORTED,TEXT_TRUNCATION_CLIPPING,False,100.0,0.0,32.64,1.66,0.199,False,0,0,0,0,8,False,1,0,0,0,True,0,0,0,0,False,0,False
42,Vault,Vault-12,CHT,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,97.8,59.0,126.02,30.5,0.231,True,11106,11881,617,18,228,True,3,0,0,5,True,1,3,19,1,True,1,False
43,Vault,Vault-14,FRA,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,100.0,72.0,71.5,31.04,0.2,True,595,1703,127,17,128,True,1,0,0,10,True,9,16,213,0,True,0,False
44,Vault,Vault-18,JPN,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,100.0,34.0,21.84,21.0,0.359,False,1242,1242,69,18,73,True,0,0,0,0,False,1,4,38,0,True,0,False
45,Vault,Vault-31,KOR,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,False,100.0,0.0,23.77,23.0,0.246,False,1242,1242,69,18,73,True,0,0,0,0,False,1,1,38,0,False,0,False
46,Vault,Vault-33,PTB,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,94.8,348.0,348.37,101.02,0.17,True,527,2092,32,17,178,True,1,0,0,0,True,14,15,309,0,True,0,False
47,Vault,Vault-34,CHS,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,False,96.2,56.0,56.01,19.49,0.201,False,1460,1460,73,20,82,True,0,0,0,0,False,0,0,0,4,False,0,False
51,Civil3d,Civil3d-22,FRA,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,True,98.9,164.0,136.01,55.0,0.205,True,4035,5473,269,20,301,True,2,744,68,0,True,10,12,163,2,True,0,False
52,Inventor,Inventor-02,ITA,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,True,99.3,22.0,90.71,45.0,-0.067,False,504,565,61,14,116,True,4,0,0,0,True,33,43,267,10,True,0,False
53,Inventor,Inventor-28,JPN,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,False,100.0,69.0,38.0,34.5,0.123,False,0,0,0,0,99,False,0,377,4,0,True,0,0,0,0,False,0,False
54,Inventor,Inventor-29,CSY,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,True,94.7,20.0,60.07,8.81,0.05,False,2431,6595,143,17,201,True,2,0,0,0,True,0,0,0,0,False,0,False
55,Inventor,Inventor-30,FRA,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,True,97.8,30.0,70.01,65.0,0.307,False,0,0,0,0,126,False,5,0,0,0,True,15,16,143,6,True,0,False
56,Inventor,Inventor-36,PTB,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,True,98.5,40.0,162.09,37.0,0.059,False,532,532,38,14,158,True,2,0,0,0,True,7,7,75,10,True,0,False
57,Vault,Vault-09,PTB,Repeated hotkey,VISUALLY_UNSUPPORTED,VISUALLY_UNSUPPORTED_MNEMONIC,True,100.0,28.0,57.22,22.17,0.142,False,90,90,5,18,82,True,1,0,0,0,True,5,16,171,0,True,0,False
59,Civil3d,Civil3d-04,PLK,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,2.0,18.03,18.0,-0.3,False,0,0,0,0,68,False,1,0,0,0,True,4,5,40,4,True,0,False
60,Civil3d,Civil3d-05,DEU,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,97.3,268.0,268.27,61.44,0.565,True,1560,9329,110,48,151,True,4,0,0,0,True,1,5,44,0,True,0,False
61,Civil3d,Civil3d-10,PTB,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,2.0,17.03,17.0,0.666,False,0,0,0,0,82,False,1,0,0,0,True,5,6,60,5,True,0,False
62,Civil3d,Civil3d-17,HUN,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,83.3,10.0,23.88,22.5,0.027,False,1494,1494,83,18,191,True,1,0,0,0,True,5,5,171,0,True,0,False
